Waktu,id,Username,Text;
2021-06-16 08:38:01,1405082222311264259,Ngonlain Damai & Tenang tanpa adanya FPI Terlarang,b'RT @Kemenparekraf: Kemenparekraf menolak gratifikasi dalam bentuk apapun yang menjadi jalur pintas untuk korupsi. Utamakan integritas dan k\xe2\x80\xa6';
2021-06-16 08:30:11,1405080248580907013,Pariwisata & Ekonomi Kreatif,b'Kemenparekraf menolak gratifikasi dalam bentuk apapun yang menjadi jalur pintas untuk korupsi. Utamakan integritas\xe2\x80\xa6 https://t.co/and0FI2OZq';
2021-06-16 08:27:51,1405079662309617667,Merza Gamal,b'Suatu hari di Pulau Samosir-Toba.\n#merzagamal #jelajahnusantara #wonderfulindonesia #instatraveling https://t.co/wmI6wAmZ2N';
2021-06-16 07:45:09,1405068919426011139,Pariwisata & Ekonomi Kreatif,b'Mention partner jalanmu dan simpan postingan ini biar nggak lupa! \xf0\x9f\x98\x89 \n\n#InDOnesiaCARE\n#BangkitBersamaKemenparekraf\n#WonderfulIndonesia';
"2021-06-16 06:38:55,1405052247747153923,gajahkecil,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
2021-06-16 06:25:39,1405048910008094723,My Jogja ID,b'Ada yang pecinta kopi???\nTernyata di Jogja ada kopi yang cukup terkenal loh guys..\nNih mimin ulas sedikit kopi dari\xe2\x80\xa6 https://t.co/7RQFKgVZKT';
"2021-06-16 06:04:53,1405043683498500096,Sonny RS 🇲🇨,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
"2021-06-16 04:03:16,1405013078270308352,NïðãD@ñz^!^,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
"2021-06-16 04:00:13,1405012309173411846,ＳＥＰＵＲＭＡＮ,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
"2021-06-16 04:00:08,1405012289300828163,suka foto sepur,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
"2021-06-16 02:55:44,1404996081985802240,Ziad Muhamad,""b'RT @KAI121: Keberhasilan dalam kehidupan, hanya bisa didapatkan ketika ada kemauan dan berjuang dengan keras.\n\nSelamat pagi, #SahabatKAI\n\n#\xe2\x80\xa6'""";
"2021-06-16 02:50:52,1404994859899899906,Robby Tanto,""b'RT @KAI121: Bangun pagi bukanlah kewajiban, tapi sebuah keharusan. Keharusan mempersiapkan diri untuk menjemput rezeki.\n\nSelamat pagi, #Sah\xe2\x80\xa6'""";
